athleteID,TGFeventCount,athleteHomeID,athleteHomeName
4234682,16,632,Weymouth parkrun
7507838,16,2927,The Great Field parkrun
1016130,16,632,Weymouth parkrun
3142502,16,2927,The Great Field parkrun
663015,16,3013,Frogmary Green Farm parkrun
1617421,16,632,Weymouth parkrun
4098715,16,3013,Frogmary Green Farm parkrun
4100234,16,632,Weymouth parkrun
7397075,16,2927,The Great Field parkrun
705248,16,3013,Frogmary Green Farm parkrun
7251770,16,2927,The Great Field parkrun
7535882,16,2927,The Great Field parkrun
3006460,15,632,Weymouth parkrun
1089893,15,3013,Frogmary Green Farm parkrun
5153648,15,632,Weymouth parkrun
2782859,15,2927,The Great Field parkrun
7530667,15,2927,The Great Field parkrun
1302781,15,632,Weymouth parkrun
877148,15,2927,The Great Field parkrun
1842981,15,632,Weymouth parkrun
4578601,15,632,Weymouth parkrun
5917180,15,2927,The Great Field parkrun
1446196,15,632,Weymouth parkrun
7261620,15,632,Weymouth parkrun
7302937,15,2927,The Great Field parkrun
2714600,15,632,Weymouth parkrun
7288445,15,2927,The Great Field parkrun
746625,15,632,Weymouth parkrun
898270,15,632,Weymouth parkrun
7419361,14,632,Weymouth parkrun
3837607,14,207,Weymouth junior parkrun
1457077,14,2927,The Great Field parkrun
7200324,14,1385,Lancaster parkrun
8293829,14,2927,The Great Field parkrun
283639,14,632,Weymouth parkrun
1741539,14,632,Weymouth parkrun
723422,14,632,Weymouth parkrun
2207744,14,2927,The Great Field parkrun
6634197,14,2927,The Great Field parkrun
2032499,14,2927,The Great Field parkrun
7299072,14,2927,The Great Field parkrun
3041758,14,632,Weymouth parkrun
7266753,14,2927,The Great Field parkrun
7419139,14,2927,The Great Field parkrun
2006833,14,286,Conkers parkrun
1016138,14,632,Weymouth parkrun
71646,14,632,Weymouth parkrun
4299622,14,2927,The Great Field parkrun
7547108,14,2927,The Great Field parkrun
7033501,13,207,Weymouth junior parkrun
7274524,13,632,Weymouth parkrun
7328674,13,2927,The Great Field parkrun
7611235,13,2927,The Great Field parkrun
2373603,13,632,Weymouth parkrun
7136858,13,8,Brighton & Hove parkrun
7087783,13,632,Weymouth parkrun
431508,13,2927,The Great Field parkrun
7309598,13,2927,The Great Field parkrun
708943,13,632,Weymouth parkrun
3644036,13,3013,Frogmary Green Farm parkrun
4167607,13,632,Weymouth parkrun
8278367,13,233,Poole parkrun
4231429,13,632,Weymouth parkrun
1313471,13,632,Weymouth parkrun
652226,13,632,Weymouth parkrun
7325126,13,2927,The Great Field parkrun
2290668,13,947,Blandford parkrun
3228569,13,947,Blandford parkrun
5906284,13,632,Weymouth parkrun
454108,13,632,Weymouth parkrun
1217307,13,632,Weymouth parkrun
7260954,13,2927,The Great Field parkrun
523110,13,233,Poole parkrun
954031,13,239,Killerton parkrun
5198206,12,207,Weymouth junior parkrun
7092350,12,2096,Henstridge Airfield parkrun
3448475,12,207,Weymouth junior parkrun
7814707,12,2927,The Great Field parkrun
3969433,12,632,Weymouth parkrun
8293779,12,2927,The Great Field parkrun
462747,12,2927,The Great Field parkrun
2305199,12,172,Bournemouth parkrun
1000923,12,632,Weymouth parkrun
1028698,12,101,Norwich parkrun
1170242,12,172,Bournemouth parkrun
1997695,12,632,Weymouth parkrun
4730100,12,1948,Street parkrun
779894,12,632,Weymouth parkrun
3531372,12,632,Weymouth parkrun
7400702,12,2927,The Great Field parkrun
789323,12,265,Medina I.O.W. parkrun
644652,12,3013,Frogmary Green Farm parkrun
1457065,12,632,Weymouth parkrun
5187348,12,3013,Frogmary Green Farm parkrun
2906594,12,263,Upton House parkrun
4478798,12,947,Blandford parkrun
7389622,12,2927,The Great Field parkrun
4081939,12,632,Weymouth parkrun
7301594,12,2927,The Great Field parkrun
5577037,12,632,Weymouth parkrun
7942792,12,2927,The Great Field parkrun
262853,12,632,Weymouth parkrun
1884241,12,632,Weymouth parkrun
14585,12,632,Weymouth parkrun
2873855,12,632,Weymouth parkrun
387541,12,2927,The Great Field parkrun
7228726,12,632,Weymouth parkrun
7951666,11,2927,The Great Field parkrun
5239854,11,632,Weymouth parkrun
5794545,11,632,Weymouth parkrun
7460043,11,2927,The Great Field parkrun
1439430,11,632,Weymouth parkrun
4671217,11,674,Fulham Palace parkrun
2072550,11,81,Oxford parkrun
2698354,11,79,Maidstone parkrun
7472009,11,2927,The Great Field parkrun
5310193,11,191,Gunnersbury parkrun
6395356,11,50,Ashton Court parkrun
7255596,11,2927,The Great Field parkrun
1334086,11,2927,The Great Field parkrun
2237226,11,443,Brockenhurst parkrun
6712832,11,1868,Victoria Dock parkrun
697999,11,3013,Frogmary Green Farm parkrun
1256160,11,121,Bath Skyline parkrun
1895494,11,632,Weymouth parkrun
3615779,11,632,Weymouth parkrun
298135,11,632,Weymouth parkrun
7433673,11,2927,The Great Field parkrun
6367568,11,632,Weymouth parkrun
6727006,11,3013,Frogmary Green Farm parkrun
17821,11,2927,The Great Field parkrun
4076715,11,632,Weymouth parkrun
7314968,11,2927,The Great Field parkrun
4109542,11,632,Weymouth parkrun
7145462,11,3013,Frogmary Green Farm parkrun
370860,11,2927,The Great Field parkrun
1866539,11,263,Upton House parkrun
4241985,11,2927,The Great Field parkrun
258780,11,632,Weymouth parkrun
1848035,11,632,Weymouth parkrun
7118882,10,632,Weymouth parkrun
7491020,10,632,Weymouth parkrun
6181051,10,2096,Henstridge Airfield parkrun
